wavelength_nm,TNT_mirrors_M1xM2xM3xM4,focal_reducer_L1_T,LRS_fold_mirrors_x2,LRS_collimator_T,VPH_grating_eff,Nikon_camera_T,CCD_QE_BEX2DD,LRS_only_throughput,TOTAL_system_throughput
603,0.9836,0.9939,0.9899,0.9919,0.8606,0.7099,0.8915,0.5347,0.5228
604,0.9835,0.9938,0.9899,0.9919,0.8622,0.7099,0.8920,0.5360,0.5239
605,0.9833,0.9938,0.9898,0.9918,0.8638,0.7099,0.8925,0.5373,0.5250
606,0.9831,0.9938,0.9898,0.9918,0.8654,0.7099,0.8930,0.5385,0.5261
607,0.9830,0.9937,0.9897,0.9917,0.8669,0.7099,0.8935,0.5397,0.5272
608,0.9828,0.9937,0.9897,0.9917,0.8684,0.7099,0.8940,0.5409,0.5282
609,0.9827,0.9937,0.9897,0.9917,0.8698,0.7099,0.8945,0.5421,0.5293
610,0.9825,0.9936,0.9896,0.9916,0.8713,0.7099,0.8950,0.5432,0.5303
611,0.9824,0.9936,0.9896,0.9916,0.8727,0.7099,0.8955,0.5443,0.5313
612,0.9822,0.9935,0.9895,0.9915,0.8740,0.7099,0.8960,0.5455,0.5323
613,0.9820,0.9935,0.9895,0.9915,0.8754,0.7099,0.8965,0.5465,0.5332
614,0.9819,0.9935,0.9895,0.9915,0.8767,0.7099,0.8970,0.5476,0.5342
615,0.9817,0.9934,0.9894,0.9914,0.8779,0.7099,0.8975,0.5487,0.5351
616,0.9816,0.9934,0.9894,0.9914,0.8792,0.7099,0.8980,0.5497,0.5360
617,0.9814,0.9933,0.9893,0.9913,0.8803,0.7099,0.8985,0.5507,0.5369
618,0.9813,0.9933,0.9893,0.9913,0.8815,0.7099,0.8990,0.5517,0.5377
619,0.9811,0.9933,0.9893,0.9913,0.8826,0.7099,0.8995,0.5527,0.5386
620,0.9809,0.9932,0.9892,0.9912,0.8837,0.7099,0.9000,0.5536,0.5394
621,0.9808,0.9932,0.9892,0.9912,0.8848,0.7099,0.9005,0.5545,0.5402
622,0.9806,0.9931,0.9891,0.9911,0.8858,0.7099,0.9010,0.5554,0.5409
623,0.9805,0.9931,0.9891,0.9911,0.8868,0.7099,0.9015,0.5563,0.5417
624,0.9803,0.9931,0.9891,0.9911,0.8877,0.7099,0.9020,0.5572,0.5424
625,0.9801,0.9930,0.9890,0.9910,0.8887,0.7099,0.9025,0.5580,0.5431
626,0.9797,0.9930,0.9890,0.9910,0.8896,0.7099,0.9030,0.5588,0.5436
627,0.9792,0.9929,0.9890,0.9909,0.8904,0.7099,0.9035,0.5596,0.5441
628,0.9787,0.9929,0.9889,0.9909,0.8912,0.7099,0.9040,0.5604,0.5446
629,0.9783,0.9929,0.9889,0.9909,0.8920,0.7099,0.9045,0.5612,0.5450
630,0.9778,0.9928,0.9888,0.9908,0.8927,0.7099,0.9050,0.5619,0.5455
631,0.9773,0.9928,0.9888,0.9908,0.8934,0.7099,0.9055,0.5626,0.5459
